ObjectID,Date,Sample_ID,Parameter,Results,Units,CAS,HRV,Units1,HRV_Types,Name,Description,Address,City_1,State,Zip,x,y
96,Nov13,0592Nov13,Ethanol,5.2,ug/m3,64-17-5,1900000,ug/m3,REL,Pinta Foamtec NE Corner,business,2601 49th Ave N,Minneapolis,MN,55430,-10387803.9266,5628437.2522
97,Nov13,0592Nov13,Methylene Chloride,1.1,ug/m3,75-09-2,20,ug/m3,HRV,Pinta Foamtec NE Corner,business,2601 49th Ave N,Minneapolis,MN,55430,-10387803.9266,5628437.2522
98,Nov13,0592Nov13,n-Heptane,27.1,ug/m3,142-82-5,350000,ug/m3,REL,Pinta Foamtec NE Corner,business,2601 49th Ave N,Minneapolis,MN,55430,-10387803.9266,5628437.2522
99,Nov13,0592Nov13,Toluene,1.8,ug/m3,108-88-3,400,ug/m3,HRV,Pinta Foamtec NE Corner,business,2601 49th Ave N,Minneapolis,MN,55430,-10387803.9266,5628437.2522
100,Nov13,0593Nov13,Acetone,4.3,ug/m3,67-64-1,590000,ug/m3,REL,Glen Gale Park co-located,MPRB,2466 Ilion Ave N,Minneapolis,MN,55401,-10386117.0186,5622208.3979
101,Nov13,0593Nov13,Dichlorodifluoromethane,2.6,ug/m3,75-71-8,4950000,ug/m3,REL,Glen Gale Park co-located,MPRB,2466 Ilion Ave N,Minneapolis,MN,55401,-10386117.0186,5622208.3979
102,Nov13,0593Nov13,Ethanol,7.4,ug/m3,64-17-5,1900000,ug/m3,REL,Glen Gale Park co-located,MPRB,2466 Ilion Ave N,Minneapolis,MN,55401,-10386117.0186,5622208.3979
103,Nov13,0593Nov13,Methylene Chloride,33.7,ug/m3,75-09-2,20,ug/m3,HRV,Glen Gale Park co-located,MPRB,2466 Ilion Ave N,Minneapolis,MN,55401,-10386117.0186,5622208.3979
104,Nov13,0593Nov13,n-Hexane,2,ug/m3,110-54-3,2000,ug/m3,HRV,Glen Gale Park co-located,MPRB,2466 Ilion Ave N,Minneapolis,MN,55401,-10386117.0186,5622208.3979
105,Nov13,0593Nov13,Toluene,2.9,ug/m3,108-88-3,400,ug/m3,HRV,Glen Gale Park co-located,MPRB,2466 Ilion Ave N,Minneapolis,MN,55401,-10386117.0186,5622208.3979
106,Nov13,0636Nov13,"1,2,4-Trimethylbenzene",2,ug/m3,95-63-6,125000,ug/m3,REL,,volunteer,501 14th St E,Minneapolis,MN,55404,-10382625.3527,5616623.8619
107,Nov13,0636Nov13,2-Propanol,1,ug/m3,67-63-0,980000,ug/m3,REL,,volunteer,501 14th St E,Minneapolis,MN,55404,-10382625.3527,5616623.8619
108,Nov13,0636Nov13,Acetone,5.5,ug/m3,67-64-1,590000,ug/m3,REL,,volunteer,501 14th St E,Minneapolis,MN,55404,-10382625.3527,5616623.8619
109,Nov13,0636Nov13,Chloromethane,1,ug/m3,74-87-3,206544,ug/m3,PEL,,volunteer,501 14th St E,Minneapolis,MN,55404,-10382625.3527,5616623.8619
110,Nov13,0636Nov13,Dichlorodifluoromethane,2.5,ug/m3,75-71-8,4950000,ug/m3,REL,,volunteer,501 14th St E,Minneapolis,MN,55404,-10382625.3527,5616623.8619
111,Nov13,0636Nov13,Ethanol,12,ug/m3,64-17-5,1900000,ug/m3,REL,,volunteer,501 14th St E,Minneapolis,MN,55404,-10382625.3527,5616623.8619
112,Nov13,0636Nov13,Methylene Chloride,2.8,ug/m3,75-09-2,20,ug/m3,HRV,,volunteer,501 14th St E,Minneapolis,MN,55404,-10382625.3527,5616623.8619
113,Nov13,0636Nov13,Naphthalene,2.4,ug/m3,91-20-3,9,ug/m3,HRV,,volunteer,501 14th St E,Minneapolis,MN,55404,-10382625.3527,5616623.8619
114,Nov13,0636Nov13,n-Hexane,1.6,ug/m3,110-54-3,2000,ug/m3,HRV,,volunteer,501 14th St E,Minneapolis,MN,55404,-10382625.3527,5616623.8619
115,Nov13,0636Nov13,Toluene,4,ug/m3,108-88-3,400,ug/m3,HRV,,volunteer,501 14th St E,Minneapolis,MN,55404,-10382625.3527,5616623.8619
116,Nov13,0638Nov13,Acetone,2.9,ug/m3,67-64-1,590000,ug/m3,REL,,volunteer,3406 Knox Ave N,Minneapolis,MN,55412,-10386316.8761,5624205.9479
117,Nov13,0638Nov13,Chloromethane,0.75,ug/m3,74-87-3,206544,ug/m3,PEL,,volunteer,3406 Knox Ave N,Minneapolis,MN,55412,-10386316.8761,5624205.9479
118,Nov13,0638Nov13,Dichlorodifluoromethane,2.5,ug/m3,75-71-8,4950000,ug/m3,REL,,volunteer,3406 Knox Ave N,Minneapolis,MN,55412,-10386316.8761,5624205.9479
119,Nov13,0638Nov13,Ethanol,6.4,ug/m3,64-17-5,1900000,ug/m3,REL,,volunteer,3406 Knox Ave N,Minneapolis,MN,55412,-10386316.8761,5624205.9479
120,Nov13,0638Nov13,Methylene Chloride,7.8,ug/m3,75-09-2,20,ug/m3,HRV,,volunteer,3406 Knox Ave N,Minneapolis,MN,55412,-10386316.8761,5624205.9479
121,Nov13,0638Nov13,Toluene,1.6,ug/m3,108-88-3,400,ug/m3,HRV,,volunteer,3406 Knox Ave N,Minneapolis,MN,55412,-10386316.8761,5624205.9479
122,Nov13,0657Nov13,Acetone,3,ug/m3,67-64-1,590000,ug/m3,REL,,volunteer,4050 39th Ave S,Minneapolis,MN,55406,-10376827.7408,5610355.614
123,Nov13,0657Nov13,Benzene,0.96,ug/m3,71-43-2,1.3,ug/m3,HRV,,volunteer,4050 39th Ave S,Minneapolis,MN,55406,-10376827.7408,5610355.614
124,Nov13,0657Nov13,Chloromethane,0.83,ug/m3,74-87-3,206544,ug/m3,PEL,,volunteer,4050 39th Ave S,Minneapolis,MN,55406,-10376827.7408,5610355.614
125,Nov13,0657Nov13,Dichlorodifluoromethane,2.3,ug/m3,75-71-8,4950000,ug/m3,REL,,volunteer,4050 39th Ave S,Minneapolis,MN,55406,-10376827.7408,5610355.614
126,Nov13,0657Nov13,Ethanol,6.2,ug/m3,64-17-5,1900000,ug/m3,REL,,volunteer,4050 39th Ave S,Minneapolis,MN,55406,-10376827.7408,5610355.614
127,Nov13,0657Nov13,Methylene Chloride,0.9,ug/m3,75-09-2,20,ug/m3,HRV,,volunteer,4050 39th Ave S,Minneapolis,MN,55406,-10376827.7408,5610355.614
128,Nov13,0657Nov13,Toluene,2.3,ug/m3,108-88-3,400,ug/m3,HRV,,volunteer,4050 39th Ave S,Minneapolis,MN,55406,-10376827.7408,5610355.614
129,Nov13,0710Nov13,2-Butanone (MEK),3.5,ug/m3,78-93-3,10000,ug/m3,HRV,,volunteer,2955 Tyler St NE,Minneapolis,MN,55418,-10380100.7145,5624977.7184
130,Nov13,0710Nov13,2-Propanol,7.3,ug/m3,67-63-0,980000,ug/m3,REL,,volunteer,2955 Tyler St NE,Minneapolis,MN,55418,-10380100.7145,5624977.7184
131,Nov13,0710Nov13,Acetone,34.9,ug/m3,67-64-1,590000,ug/m3,REL,,volunteer,2955 Tyler St NE,Minneapolis,MN,55418,-10380100.7145,5624977.7184
132,Nov13,0710Nov13,Chloroform,5.6,ug/m3,67-66-3,150,ug/m3,HRV,,volunteer,2955 Tyler St NE,Minneapolis,MN,55418,-10380100.7145,5624977.7184
133,Nov13,0710Nov13,Chloromethane,2.8,ug/m3,74-87-3,206544,ug/m3,PEL,,volunteer,2955 Tyler St NE,Minneapolis,MN,55418,-10380100.7145,5624977.7184
134,Nov13,0710Nov13,Cyclohexane,5.3,ug/m3,110-82-7,1050000,ug/m3,REL,,volunteer,2955 Tyler St NE,Minneapolis,MN,55418,-10380100.7145,5624977.7184
135,Nov13,0710Nov13,Ethanol,266,ug/m3,64-17-5,1900000,ug/m3,REL,,volunteer,2955 Tyler St NE,Minneapolis,MN,55418,-10380100.7145,5624977.7184
136,Nov13,0710Nov13,Methylene Chloride,5.1,ug/m3,75-09-2,20,ug/m3,HRV,,volunteer,2955 Tyler St NE,Minneapolis,MN,55418,-10380100.7145,5624977.7184
137,Nov13,0710Nov13,Toluene,41.4,ug/m3,108-88-3,400,ug/m3,HRV,,volunteer,2955 Tyler St NE,Minneapolis,MN,55418,-10380100.7145,5624977.7184
138,Nov13,0798Nov13,2-Butanone (MEK),2.3,ug/m3,78-93-3,10000,ug/m3,HRV,Kohl & Madden Printing Inc Corp NE,business,782 29th Ave SE,Minneapolis,MN,55414,-10376307.3436,5619085.4096
